question,document
"Why do you compare this course approach to learning HTML, CSS, and JavaScript before React or Angular?",b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
What does the error `OpenAI API Error: Insufficient credits` mean in the OpenAI `responses.create` command?,f5df151c59
I’m seeing a credit-related failure in `responses.create`; is my OpenAI account out of credits?,f5df151c59
How do I fix the `Insufficient credits` error from OpenAI when using `responses.create`?,f5df151c59
Could the `responses.create` command fail because my OpenAI balance is too low?,f5df151c59
"Why am I getting a 429 RateLimitError from OpenAI saying I exceeded my quota, and how do I fix it?",152af39a53
"Do I need to add billing credits to use the OpenAI API, or is there any free quota left?",152af39a53
"After topping up my OpenAI account, do I have to create a new API key before trying again?",152af39a53
How do I know which OpenAI model names I’m allowed to use in `responses.create(...)`?,152af39a53
What should I check in my OpenAI account if my request keeps failing with `insufficient_quota`?,152af39a53
How much should I expect to spend on the OpenAI API for this course?,554d0eb78b
Do I need to pay a lot to use the OpenAI API in the course assignments?,554d0eb78b
"What is the minimum I can top up for the OpenAI API, and is that enough for course use?",554d0eb78b
"Will the OpenAI API costs for the course be more than a few cents, or is it really cheap?",554d0eb78b
How much money do I need to start using the OpenAI API for this course?,554d0eb78b
Do I need to subscribe to the OpenAI API to finish the course homework?,85384a18e5
"Will I have to pay for OpenAI in this course, or are there free options?",85384a18e5
Can I complete the RAG assignments without using a paid OpenAI account?,85384a18e5
What should I use instead of OpenAI API if I don’t want to spend money?,85384a18e5
Does the course provide any free or cheap alternatives to OpenAI API?,85384a18e5
Why does the course recommend using uv instead of just pip and virtualenv for setup?,f81dea8f7e
"What makes uv better or easier than the usual Python tools like pip, virtualenv, and poetry?",f81dea8f7e
"Do I have to switch to uv for this course, or can I keep using pip and virtualenv?",f81dea8f7e
"How does uv help with managing Python versions, environments, and dependencies in one place?",f81dea8f7e
What is the main reason the lessons use uv when other Python package managers still work?,f81dea8f7e
Why does my Jupyter notebook not see OPENAI_API_KEY even though I put it in a .env file?,86d99bbf21
What do I need to install so my notebook can load API keys from .env?,86d99bbf21
Where should I call load_dotenv() before using the OpenAI client in Jupyter?,86d99bbf21
Could the problem be that my env var name is wrong if OPENAI_API_KEY is not detected?,86d99bbf21
How do I make sure the notebook picks up OPENAI_API_KEY from the .env file?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python for this RAG project?,233dabe430
What’s the best way to use python-dotenv to read OPENAI_API_KEY or GROQ_API_KEY from environment variables?,233dabe430
"Should I put .env in gitignore before saving my keys, and how do I set that up?",233dabe430
What do I need to install and import so my app can read API secrets from a local .env file?,233dabe430
"Can you show a simple example of storing Gemini, OpenAI, and Groq keys in .env and accessing them with os.getenv()?",233dabe430
Is it okay if I don’t use the model the homework recommends and pick a different one instead?,ee43413718
"Can I do the RAG homework with OpenAI alternatives like Gemini, Groq, Azure OpenAI, or even a local model?",ee43413718
"Do I need a paid AI service for this assignment, or is there a way to complete it for free?",ee43413718
"If I switch to another LLM provider, will I have to change the code because the API format is different?",ee43413718
Where can I find a list of other model providers I can use for this homework?,ee43413718
How do I hook up Gemini in the Module 1 notebook if I want to use the OpenAI-style endpoint instead of the usual one?,0ae5c221b9
What do I need to put in my .env and client setup to call a Google Gemini model from the notebook?,0ae5c221b9
Why does the notebook code need changes when I switch from the Responses format to Gemini's chat completions endpoint?,0ae5c221b9
How do I write the llm helper for Gemini so it sends both the instructions and the user message correctly?,0ae5c221b9
Which parts of the Module 1 code usually break or need updating when using Gemini models through the OpenAI-compatible API?,0ae5c221b9
How do I get a Pydantic object back from Gemini if the Responses API parse method isn’t there?,341f71f28c
Can I still use the OpenAI SDK to parse structured output from Gemini through the compatible endpoint?,341f71f28c
What’s the right way to define the schema so Gemini returns a list of FAQ items as typed objects?,341f71f28c
Which method should I call instead of responses.parse when using a chat-completions model like Gemini?,341f71f28c
"Do I need to manually load JSON, or does the SDK give me the parsed result directly?",341f71f28c
"How do I install Ollama on Mac, Windows, or Linux?",1d0b969028
"After installing Ollama, what do I run to start the local LLaMA 3 model?",1d0b969028
How can I check if the Ollama server is working on my machine?,1d0b969028
What package do I need in Python to use Ollama from code?,1d0b969028
Can you show a simple Python example for chatting with llama3 using Ollama?,1d0b969028
How do I fix a connection refused error when I try to prompt Ollama in the RAG homework?,c6fc2d4d11
"If Ollama stops responding in Module 1 RAG, what should I do to get the server running again?",c6fc2d4d11
What command do I use to restart the Ollama server in the notebook after a connection refused issue?,c6fc2d4d11
"Why am I getting a connection refused error with Ollama, and how can I recover it without restarting everything?",c6fc2d4d11
"Do I need to rerun the ollama serve cell after restarting the notebook, or is one restart enough?",c6fc2d4d11
Why does `tiktoken` give me a smaller token count than OpenAI’s API for the same prompt?,bf0403d21b
"In `chat.completions.create()`, what extra tokens does OpenAI add that I don’t see in my text?",bf0403d21b
"Could newlines, spaces, or weird Unicode characters change the token count between my code and OpenAI’s report?",bf0403d21b
"If my prompt is 320 tokens in `tiktoken`, why might OpenAI show something like 327 tokens instead?",bf0403d21b
How does OpenAI count chat messages differently from just encoding the raw prompt text?,bf0403d21b
How can I set my API key once so I don't need to export it in every new terminal session?,8b2f5e9d04
"Is there a way to auto-load my `.env` file when I enter a project folder, instead of typing exports by hand?",8b2f5e9d04
"For a project with OpenAI credentials, what’s the easiest setup that works across different shells and operating systems?",8b2f5e9d04
"If I’m working in GitHub Codespaces, should I still keep secrets in `.env`, or is there a better option?",8b2f5e9d04
How do I load a `.env` file automatically in a Python script without manually reading environment variables?,8b2f5e9d04
How do I decide on field weights in minsearch without just guessing?,87d4ea4e08
Is there a good way to tune search field weights besides trial and error?,87d4ea4e08
What’s the best method to test different field weights for retrieval quality?,87d4ea4e08
Should I build a small labeled set before changing weights in my search engine?,87d4ea4e08
Which metrics should I use to compare field weight settings for RAG search?,87d4ea4e08
What’s the best way to clean documents before using them for RAG so retrieval works better?,649c280e6d
"Which junk should I remove from my docs, and what context should I keep for RAG?",649c280e6d
"Do I need to turn my data into JSON for RAG, or is any structured format fine?",649c280e6d
How should I chunk documents for RAG so I don’t lose important context?,649c280e6d
What kind of metadata is worth saving when preparing docs for retrieval?,649c280e6d
"In GitHub Codespaces, `uv` prints “Failed to hardlink files” — should I worry about it or is the install still fine?",acf8fa5356
"Why does `uv` complain about hardlinking in Codespaces, and what does it do instead?",acf8fa5356
How can I stop the `uv` hardlink warning just for my current terminal session?,acf8fa5356
What’s the easiest way to make `uv` use copy mode by default every time I open a shell?,acf8fa5356
Is there a setting in `uv` for Codespaces when hardlinks aren’t possible between cache and the environment?,acf8fa5356
"I keep getting ""dotenv is not recognized"" in my RAG project — which package am I supposed to install?",0bed1f48da
What should I add with uv if load_dotenv / dotenv isn’t working in Module 1?,0bed1f48da
Is there a specific Python package for using .env files in llm-zoomcamp?,0bed1f48da
"How do I fix the ""dotenv not recognized"" error when following the course code?",0bed1f48da
"After installing the env package, how do I import it and load variables in Python?",0bed1f48da
Can I do this module on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally for the course?",aa310de435
What do I need installed if I want to run the course on my laptop?,aa310de435
"If I use a local setup, do I need to keep track of how I configured it?",aa310de435
Why is Codespaces recommended if local development is also allowed?,aa310de435
"If I keep coding in GitHub Codespaces but never commit, where does that work actually live?",610ccb23c0
"Does uncommitted code in Codespaces stay safe, or can it disappear later?",610ccb23c0
"When I save files in Codespaces without pushing to GitHub, is that enough to keep my work?",610ccb23c0
Should I still commit regularly in Codespaces even if the code is already saved in the Linux VM?,610ccb23c0
"What happens to my Codespaces changes if the session stops, disconnects, or the environment gets deleted?",610ccb23c0
Why does WSL2 say the model needs more system memory than is available even though my PC has enough RAM?,f3dd94f323
How do I change the amount of RAM WSL2 can use on Windows?,f3dd94f323
Where should I put the .wslconfig file to give WSL2 more memory?,f3dd94f323
What do I need to add inside .wslconfig to increase WSL2 memory allocation?,f3dd94f323
"After editing WSL2 memory settings, how can I restart it and check that the new RAM limit is active?",f3dd94f323
My Codespace is stuck on “Finishing up” and never opens — what are the first things I should try?,830f3d2018
"If a Codespace won’t reconnect in GitHub, is there a quick fix besides waiting?",830f3d2018
"Why does my setup seem to vanish after a rebuild or new Codespace, and is that normal?",830f3d2018
Do files in /workspaces stay there when I stop and start the Codespace again?,830f3d2018
What should I do if GitHub Codespaces keeps acting flaky and I don’t want to lose my work?,830f3d2018
"Can I swap OpenAI for another LLM provider if it's blocked where I live, or am I stuck with the course setup?",c6ff9083c0
"Which providers actually work with the course code without a big rewrite, like Groq, OpenRouter, DeepSeek, Gemini, or Mistral?",c6ff9083c0
"If I use a different API, do I only need to change the endpoint URL, key, and model name in the OpenAI client?",c6ff9083c0
"Can I run the model on my own machine with something like Ollama, vLLM, or LM Studio instead of calling an external API?",c6ff9083c0
What if my laptop can't handle the model I want — is renting a GPU server and pointing the course code to it a good option?,c6ff9083c0
"Why am I getting 429 errors in my notebook when I loop over a lot of docs, and what should I change first?",8e21752415
What’s a good way to stop OpenAI rate limit problems during the course without waiting for the error to happen?,8e21752415
How can I make my API calls less likely to hit per-minute limits in RAG notebooks?,8e21752415
"Do I need to handle 429s manually, or does the OpenAI client already retry for me?",8e21752415
"If I rerun a notebook, how do I avoid paying for or redoing the same embeddings and responses again?",8e21752415
"In agentic RAG, what exactly counts as a tool or function, and how are they different from the model itself?",c296ea5a21
Why do people use the terms tool and function almost interchangeably in this course?,c296ea5a21
What kinds of tasks can a model pass to a tool or function instead of doing everything on its own?,c296ea5a21
"How does tool use change the flow compared with basic RAG, where retrieval happens first no matter what?",c296ea5a21
When should the model decide to call a tool or function during an agentic RAG setup?,c296ea5a21
What free models can I use if I want tool use support for development?,0d74a3616f
Does Groq have any models that support tools or function calling for free?,0d74a3616f
"Besides Groq, which other providers support tool or function calling?",0d74a3616f
Can I use Deepseek R1 or Llama 4 with tool use without paying?,0d74a3616f
Do I need to change my code when switching from OpenAI to Groq or other model providers for tools?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I switch from OpenAI to another model in an agent?,9e7b3f0c25
"Can I use `client.responses.create(...)` with Mistral or Groq, or is that only for OpenAI models?",9e7b3f0c25
What should I use instead of `response.output` when my provider doesn’t support the Responses API?,9e7b3f0c25
How do I change my code to work with `chat.completions.create(...)` for non-OpenAI providers?,9e7b3f0c25
Do I need to modify the tools schema too when I move an agent from OpenAI’s Responses API to another LLM provider?,9e7b3f0c25
Why am I getting `Missing required parameter: 'tools[0].function'` when I use Azure OpenAI in Module 1?,b9c7c6bb34
How should I format my `get_weather_tool` JSON so the tool call works with Azure OpenAI?,b9c7c6bb34
"Do I need a `function` field inside `tools[0]` for the weather tool, and what should it look like?",b9c7c6bb34
What is the correct JSON structure for the `get_weather` tool in the Agentic RAG exercise?,b9c7c6bb34
Can you show the fixed `get_weather_tool` definition for the weather example using Azure OpenAI?,b9c7c6bb34
"Why do I get a 404 error with toyaikit on Groq, and what part of the API is it actually calling?",0224d980b3
How can I run toyaikit with Groq or another OpenAI-compatible provider without hitting the OpenAI Responses endpoint?,0224d980b3
What do I need to change in toyaikit if I want to use Anthropic models instead of OpenAI ones?,0224d980b3
"Can I use the same toyaikit tools setup with Groq or Anthropic, and what runner/client classes should I pick?",0224d980b3
"In toyaikit, what's the difference between `runner.loop(prompt=...)` and `runner.run()`, and when should I use each?",0224d980b3
Where do I actually find the Module 1 homework questions for the 2026 cohort?,53f15299b6
"Is the homework listed only in the course platform, or should I check the GitHub repo too?",53f15299b6
Can you point me to the right page for the 2026 Module 1 homework instructions?,53f15299b6
I’m looking for the Module 1 homework links—where are they posted?,53f15299b6
"For llm-zoomcamp, what’s the best place to see the homework tasks and any extra notes?",53f15299b6
Why am I getting an empty list after filtering my query in this homework task?,83da208a64
Could this empty result be caused by a problem with how I indexed the data first?,83da208a64
Do I need to set the index settings before I load the documents into Elasticsearch?,83da208a64
What should I check if my filters and query return nothing in HW Q3?,83da208a64
"Is the issue with my query, or did I probably add the data to the index in the wrong order?",83da208a64
Why do I get a 402 error from OpenRouter when I call responses.create() in my homework code?,cfb07a27d5
How can I fix the OpenRouter APIStatusError 402 that happens before the model even runs?,cfb07a27d5
What should I set for max_output_tokens in responses.create() so OpenRouter stops rejecting my request?,cfb07a27d5
"In rag_helper.py, where do I add the output token limit for Module 1 homework?",cfb07a27d5
Why does OpenRouter give 402 here instead of the 429 quota error I usually see with OpenAI?,cfb07a27d5
"In the Module 1 homework, what does it actually mean to point RAG at the chunk index instead of the full documents?",b4300adeb1
Should I build the search index from the original documents or from the split chunks in the homework?,b4300adeb1
"If I already have `documents` and `chunks`, which one should I use with `index.fit()` for RAG?",b4300adeb1
Why does the homework say to retrieve chunks for the prompt instead of sending the whole document text?,b4300adeb1
What’s the difference between using `index.fit(chunks)` and `index.fit(documents)` in this RAG setup?,b4300adeb1
Do I have to get the homework numeric answer exactly equal to one of the multiple-choice options?,5e4ca64cb5
What should I do if my homework result is a little different from every option in Module 1?,5e4ca64cb5
Why might my homework answer not match the choices exactly even if my code seems right?,5e4ca64cb5
"If my number is close to an option but not identical, should I pick the nearest one or keep looking?",5e4ca64cb5
"When should I re-check the dataset, filtering, or homework instructions because my answer looks off?",5e4ca64cb5
"When the homework wording feels vague, should I check the course page first or the GitHub instructions?",7d3a2e3505
"For Module 1 in the 2026 cohort, where exactly are the materials and homework directions?",7d3a2e3505
Why does the homework sometimes seem different from the lesson if it’s based on the same topic?,7d3a2e3505
"If I still can’t make sense of a homework task, what’s the best way to ask for help in Slack?",7d3a2e3505
What should I include when I ask about homework confusion so people can actually help me?,7d3a2e3505
How can I get the token count for Module 1 homework when I'm using a provider that isn't OpenAI?,fe8fed31e6
Where should I look for token usage in the response object if I use an OpenAI-compatible client for the homework?,fe8fed31e6
"Is it okay to use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my model provider doesn't return any token usage information?,fe8fed31e6
"For the multiple-choice token-count question in Module 1, should I pick the exact number or the closest answer?",fe8fed31e6
"Why does the homework checker say my repo link is not 200, and what should I change so it passes?",bcdb8740ce
I submitted my GitHub URL for the module 1 homework and got a 500/404 error — what’s usually wrong with the link?,bcdb8740ce
Do I need to make my homework repository public for the checker to access it?,bcdb8740ce
Should I remove the .git part from the GitHub repo URL before submitting it?,bcdb8740ce
How can I quickly test whether my repository URL is reachable by the submission checker?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we need them?",69430a79a8
How do embeddings turn text or other non-numeric data into numbers without losing meaning?,69430a79a8
Why should similar pieces of data produce close vectors after embedding?,69430a79a8
How do embeddings help with semantic similarity and comparing meaning?,69430a79a8
Is embeddings related to vector space models or dimensionality reduction in any way?,69430a79a8
"How can I get rid of the warning about the ""multi-qa-mpnet-base-dot-v1"" model and sentence-transformers version?",aa3f597424
Is there a way to suppress the sentence transformers v3.0.0 beta warning when using that embedding model?,aa3f597424
What should I install or upgrade if I keep seeing this warning during vector search?,aa3f597424
"Why am I getting the notice that the model was made with sentence-transformers v3, and how do I make it stop?",aa3f597424
"Do I need to update sentence-transformers to fix the ""multi-qa-mpnet-base-dot-v1"" warning?",aa3f597424
"Why did the lesson use a plain dot product for similarity instead of cosine, and is that always valid?",92cd22cada
"In the homework, why do we need to normalize embeddings before comparing them, unlike in the lecture example?",92cd22cada
"If my vectors come from the model already normalized, can I just use dot product as cosine similarity?",92cd22cada
What changes between the lecture embeddings and the homework embeddings that makes normalization necessary?,92cd22cada
How can I tell whether dot product is enough or whether I need to normalize first?,92cd22cada
"When I'm building vector search for the course, is there one best choice for embeddings, or do I need to test a few options?",5c4a8d2e60
"Should I vectorize just the answer text, just the question, or both together for the best search results?",5c4a8d2e60
Why would embedding only the answer still work well in a question-answer retrieval setup?,5c4a8d2e60
"If my users type questions, does it make sense to index only the original questions instead of the answers?",5c4a8d2e60
"Is combining the question and the answer into one embedding worth it, even if it costs a bit more?",5c4a8d2e60
What exactly does cosine similarity measure when comparing two vectors?,db78580409
How do you use cosine similarity to compare two documents in text analysis?,db78580409
"What does it mean if cosine similarity is 1, 0, or -1?",db78580409
Why is cosine similarity commonly used with word counts or TF-IDF vectors?,db78580409
"Can cosine similarity be applied to any vectors, or only non-zero ones?",db78580409
Why does cosine similarity turn into a dot product once the embeddings are normalized?,95feb4e75b
How does normalizing vectors let us compute similarity with matrix multiplication?,95feb4e75b
"In vector search, why can cosine similarity be computed just by multiplying the embedding matrix by the query vector?",95feb4e75b
"What changes when all document embeddings and the query are unit length, so cosine similarity becomes faster to calculate?",95feb4e75b
Why is cosine similarity basically the same as a dot product in this setup?,95feb4e75b
"For Module 2, do I need to create a brand-new GitHub repo, or is a separate Codespace enough?",1e829a8c6f
"Should I keep using my Module 1 Codespace, or is it better to start a fresh one for vector search?",1e829a8c6f
"If I set up Module 2 in Codespaces, do I have to make a new repository first?",1e829a8c6f
Why does the course recommend a separate Codespace for Module 2 instead of reusing the old one?,1e829a8c6f
"When I'm done with the Module 2 Codespace, is it okay to delete it as long as I committed my changes?",1e829a8c6f
"Why does download.py get stuck at 0% when trying to fetch model.onnx from HuggingFace, and is there a workaround?",29b69fbe0b
My model.onnx download never moves past 0% in download.py — is HuggingFace’s CDN the problem?,29b69fbe0b
"Can I manually grab model.onnx from the browser if download.py hangs, and where should I put it?",29b69fbe0b
What should I do if the script seems frozen while downloading the ONNX file from HuggingFace?,29b69fbe0b
"If I already saved model.onnx locally, will download.py still try to fetch it again?",29b69fbe0b
"Why do the matrix and for-loop versions of vector search give slightly different answers, even though they should be the same dot product?",e889793af9
"Is it normal that `np.allclose(scores, scores_loop)` can return `False` for the matrix version and the loop version of vector search?",e889793af9
What makes `X.dot(v_query)` not match a Python loop exactly when calculating vector search scores?,e889793af9
Should I worry if the two vector search implementations differ in the last decimal places?,e889793af9
How can I compare the results of `scores = X.dot(v_query)` and the loop version without expecting an exact match?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk?,1a7b27c4df
What usually causes list index out of range in vector search when picking the top chunk?,1a7b27c4df
How do I make sure my embeddings match the chunks so I don't hit this error?,1a7b27c4df
Should I create embeddings from the whole chunks list or from chunk content only?,1a7b27c4df
Why does the number of vectors have to be the same as the number of document chunks?,1a7b27c4df
Why is my cosine similarity answer for Module 2 Homework Q2 not matching any of the multiple-choice options?,eaa17a9dc6
Do I need to use the `Embedder` from `embedder.py` for Homework 2 instead of `sentence-transformers`?,eaa17a9dc6
"Could the wrong embedding model, like `multi-qa-mpnet-base-dot-v1` or `all-mpnet-base-v2`, be why my cosine score is different?",eaa17a9dc6
"For Q2, should I be embedding the `content` field only, or am I supposed to use the filename or the whole record?",eaa17a9dc6
"If my cosine similarity is still a little off after using the right setup, should I just choose the nearest option?",eaa17a9dc6
How should I set up the Gemini key for Kestra — do I need both the normal env var and the base64 one?,3860e5fe8b
What’s the right way to export OpenAI and Tavily keys so Kestra can see them in the flows?,3860e5fe8b
"Do I need to restart Docker or Kestra after adding the secret variables, or can it pick them up automatically?",3860e5fe8b
"In a Kestra flow, should I use the name with SECRET_ or without it when calling secret()?",3860e5fe8b
"Why does Kestra require the API keys to be base64-encoded and prefixed with SECRET_, and where do I put those exports?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating flows, and what am I missing in my setup?",04440cab11
I set up the course project but the Copilot still refuses to answer — do I need a different Gemini key env var for it?,04440cab11
What should I export before running `docker compose up` so Kestra’s Copilot actually works instead of giving that canned reply?,04440cab11
Could this Copilot error be because I used the base64 secret variable from the flows instead of the plain Gemini API key?,04440cab11
"If the Gemini key is already set and Copilot still fails, what else should I check like quota, typos, or restarting Kestra?",04440cab11
Why does Kestra say my Gemini API key is invalid even though I already exported SECRET_GEMINI_API_KEY?,c8ca21af33
Do I need to restart the Kestra container after changing the API key environment variables?,c8ca21af33
Should I use {{ secret('GEMINI_API_KEY') }} or {{ secret('SECRET_GEMINI_API_KEY') }} in the flow?,c8ca21af33
Can a trailing newline or space break the base64-encoded secret for Gemini?,c8ca21af33
Is it better to put the keys in a .env file and start docker compose with --env-file?,c8ca21af33
Why can't I just use a notebook for this module instead of an orchestrator like Kestra?,193612db63
"What does Kestra add that a normal script or notebook doesn't, especially for AI workflows?",193612db63
"In Module 3, is Kestra only for orchestration, or is it also used to show AI Copilot, RAG, and agents?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, etc. in Kestra without rewriting the flow?",193612db63
What is the main reason the course uses Kestra here instead of just running code cell by cell?,193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only for the orchestration module?",cce328db64
"For the final project, can I use Airflow, Prefect, Dagster, or even just a Python script instead of Kestra?",cce328db64
"If I build the ingestion pipeline in a notebook, do I still get full credit, or is a script required?",cce328db64
Why does the course use Kestra in Module 3 if other orchestrators can do scheduling and retries too?,cce328db64
"Can I switch between OpenAI, Gemini, Anthropic, or other AI providers in a Kestra flow without rewriting everything?",cce328db64
"Does Kestra only work with Gemini, or can I plug in OpenAI, Anthropic, Groq, or even Ollama/local models too?",f442efe5b4
"If I want to switch from Gemini to another AI provider in a Kestra flow, do I need to rewrite the whole workflow or just change the provider settings?",f442efe5b4
"Is Groq supported in Kestra, and does it work with the OpenAI-compatible APIs?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the vendor-specific plugins like the Gemini or OpenAI ones?,f442efe5b4
"How do I use a local model in Kestra, like one running in Ollama or LM Studio?",f442efe5b4
