question,answer_agent,answer_orig,tool_calls,cost,document
"Do I have to start the course at a specific time, or can I begin whenever I want?","You can start whenever you want. The course materials and videos are available, and the deadlines are listed on the course platform.

One important caveat: if you want a certificate, you need to participate in the live cohort and submit your project while submissions are still open.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""start course specific time begin whenever want self-paced enrollment start date""}'}]",0.001110,04919992b3
"What should I read first: the docs, the GitHub repo, or the course platform?","Start with the **LLM Zoomcamp docs** and the **general logistics docs**, then use the **GitHub repo** as the main working entry point.

A good order is:

1. **Docs** — course overview and logistics  
2. **GitHub repo** — lesson materials, notebooks, homework instructions, videos linked from each lesson  
3. **Course platform** — deadlines and homework submission

In practice, the course FAQ says to treat the **GitHub repo as the main entry point** for the lessons, because it stays updated more reliably than the YouTube playlist. If you’re looking at homework, **read the GitHub homework instructions first**, not just the course platform page.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""What should I read first docs GitHub repo course platform first order""}'}]",0.00172275,04919992b3
How do the lesson exercises and homework usually differ in LLM Zoomcamp?,"In LLM Zoomcamp, lesson exercises usually follow the lesson content directly, while homework is similar in approach but typically uses a different dataset or asks you to apply the same ideas in a slightly different way.

A good rule of thumb:
1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers through the course platform

If you want, I can also point you to where the homework instructions live for the current cohort.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""lesson exercises homework differ LLM Zoomcamp""}'}]",0.001485,04919992b3
How do I find my own entry on the leaderboard if I can't spot my name there?,"If you can’t spot your name on the leaderboard, click the **“Jump to your record on the leaderboard”** link — it will take you directly to your entry.

Also, when you set up your account, you’re assigned a **random display name** by default, so your leaderboard name may not be your real name. If you want to check or change it, go to **“Edit Course Profile”**:

- **First field:** your public nickname/display name shown on the leaderboard
- **Second field:** your official name for the certificate

If you want, I can also explain how to change your leaderboard display name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""find my own entry on the leaderboard can\'t spot my name""}'}]",0.002007,c2903069a0
What do I need to click to see my display name in the course profile?,"To see your display name, click **“Edit Course Profile”**.

In that profile:
- **First field** = your display name / nickname shown publicly
- **Second field** = your official name for the certificate

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""see display name course profile click display name profile""}'}]",0.00135225,c2903069a0
"Why am I shown a random name on the leaderboard, and can I change it?","You’re shown a random name because the course automatically assigns a default display nickname for the leaderboard, such as “Lucid Elbakyan.”

Yes, you can change it:
- Go to **Edit Course Profile**
- **First field**: your public display name/nickname for the leaderboard
- **Second field**: your official name for the certificate

So if you want, you can replace the random leaderboard name with your Slack username, GitHub username, or any other nickname.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""random name leaderboard change name anonymous display leaderboard can I change it""}'}]",0.00138525,c2903069a0
Which name should I put in the profile if I want a different nickname instead of the default one?,"Put your nickname in the **first field** of **Edit Course Profile**. That’s the public display name shown on the leaderboard.

You can use any nickname you want there, like your Slack username or GitHub username. The **second field** is for your official certificate name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""profile name different nickname default one what name should I put in profile""}'}]",0.00135375,c2903069a0
What should I update in my profile so my certificate shows my real official name?,"Update the **second field** in **Edit Course Profile** to your **official legal name** exactly as it appears on your ID/passport.  

The **first field** is just your public display name for the leaderboard, but the **second field** is the name that will appear on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""certificate official name profile update real name certificate profile legal name""}'}]",0.001203,c2903069a0
Can I take the course at my own pace and still earn a certificate?,"No — for this course, you can’t earn a certificate in self-paced mode.

You need to finish with a live cohort, because the certificate requires peer-reviewing capstone projects, and that only happens while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""take the course at my own pace certificate self-paced earn a certificate""}'}]",0.00103875,69d122f12e
Is there any way to get a certificate if I don't join a live cohort?,"No. You can only get a certificate if you finish the course with a live cohort.

The FAQ says certificates are **not awarded in self-paced mode** because you need to **peer-review 3 capstone projects**, and that peer-review process is only available while the course is running live.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificate without joining a live cohort""}'}]",0.00117075,69d122f12e
Do you give certificates for the self-paced version of the course?,"No — certificates are only awarded if you finish the course with a live cohort. The self-paced version does not include a certificate, because the certificate requires peer-reviewing capstone projects while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificates self-paced version course""}'}]",0.00099225,69d122f12e
Why can't I receive a certificate after finishing the course on my own?,"You can’t get a certificate from finishing the course in self-paced mode because certificates are only awarded to students who complete the course with a live cohort.

The FAQ says the reason is that certificate eligibility depends on peer-reviewing 3 capstone projects after you submit yours. That peer-review process is only available while the course is actively running; once submissions close, the review list is compiled and self-paced learners can’t do it.

If you want, I can also explain what you need to do to be eligible for a certificate during a live run.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificate after finishing the course on my own self-paced certificate requirements""}'}]",0.00148425,69d122f12e
Do I need to do peer reviews to be eligible for the certificate?,"Yes — if you want a certificate, you need to participate in peer reviews.

The FAQ says certificates are only awarded for the live cohort, and part of that requirement is peer-reviewing 3 capstone projects after submitting your own project. If you don’t do the required peer reviews, you may fail to get the certificate.

If you want, I can also summarize the full certificate eligibility requirements.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""peer reviews certificate eligible required certificate""}'}]",0.001149,69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or do I need to make it up?","Yes — skipping the first homework does **not** prevent you from getting the certificate.

According to the course FAQ, **homework is not mandatory**. You still qualify for the certificate as long as you **pass the Capstone project**. The homework points only affect your **leaderboard rank**.

If you want, I can also summarize the full certificate requirements.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate skipped first homework make up qualify for certificate homework policy""}'}]",0.0012345,9f689c185f
"Is passing the Capstone project enough to get the course certificate, even if I miss some homework?","Yes — for this course, **passing the Capstone project is enough to get the certificate**. Homework is **not mandatory**, so missing some homework won’t stop you from earning the certificate.

That said, this applies only if you complete the course in a **live cohort** and submit the project while submissions are still open.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""course certificate capstone homework missing enough to get certificate""}'}]",0.001116,9f689c185f
"Are homework assignments required for certification in this course, or are they just optional practice?","Homework is **not just optional practice** — it is generally part of the course workflow and is used for **certification/submission**.

That said, the FAQ I found doesn’t state this in one single sentence, but it does show that homework has official **submission and deadlines** on the course platform, which indicates it’s a required course component rather than purely optional practice.

If you want, I can also check the FAQ for the exact certification rule wording.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework assignments required certification optional practice course""}'}]",0.0014430,9f689c185f
"If homework isn't mandatory, does it still affect anything important like my ranking or score?","No—if homework isn’t mandatory, it does **not** affect your certificate or overall course completion.

What it **does** affect is your **leaderboard rank**: homework points count toward ranking, so skipping homework can lower your position there.

So the short version is:

- **Certificate / passing the course:** not affected by homework
- **Leaderboard ranking:** affected by homework points

If you want, I can also explain how the capstone fits into the grading/certificate requirements.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework not mandatory affect ranking score optional homework grade ranking score""}'}]",0.00145875,9f689c185f
What’s the minimum requirement to receive the certificate in llm-zoomcamp?,"To receive an LLM Zoomcamp certificate, you must finish the course with a **live cohort** — **self-paced mode does not qualify**.

The FAQ says the reason is that you need to **peer-review 3 capstone projects after submitting your own project**, and that can only be done while the course is running.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""minimum requirement certificate llm-zoomcamp""}'}]",0.0013275,9f689c185f
Why does the homework content keep changing before it’s released?,"If the homework title contains `[DRAFT]`, it means it isn’t ready yet, so the content can still change.

The homework is considered ready only when both are true:
- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

Until then, changes are expected, so working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework content keeps changing before release""}'}]",0.001449,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,"If a homework title contains `[DRAFT]`, it means the homework is **not ready yet**.

It’s only considered ready when:
- the homework submission form is open, and
- the title **does not** contain `[DRAFT]`.

Until then, the content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""[DRAFT] homework title meaning""}'}]",0.001305,96286b4be4
How can I tell if a homework assignment is actually ready?,"A homework assignment is ready only when **both** of these are true:

- The homework form is **open on the course management platform**.
- The homework title **does not contain `[DRAFT]`**.

If the title still says `[DRAFT]`, it means it is **not ready yet** and the content may still change. Working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""How can I tell if a homework assignment is actually ready?""}'}]",0.00141675,96286b4be4
Is it safe to start working on homework while it still looks like a draft?,"It’s **not considered safe to rely on it yet** if the homework title still contains **`[DRAFT]`**.

According to the FAQ:

- The homework is ready only when:
  - the homework form is open on the course platform, **and**
  - the title **does not** contain `[DRAFT]`.

Until then, the content can still change, so working on it in advance is **at your own risk** because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""safe to start working on homework draft homework looks like a draft""}'}]",0.00145725,96286b4be4
Can homework still be updated even after the form is open?,"Yes — if the homework submission form is still open, you can still submit/update your homework even if the deadline has passed. Once the form is closed, submissions are no longer accepted.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework updated after form is open""}'}]",0.00110175,96286b4be4
When is the next time this course will run?,The course will be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next time course will run next offering next run schedule upcoming session""}'}]",0.00104925,bd31146b0e
Do you know when llm-zoomcamp will be offered again?,Yes — the FAQ says **LLM Zoomcamp will be offered next in Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""llm-zoomcamp offered again when next cohort date schedule""}'}]",0.0009405,bd31146b0e
What’s the next scheduled offering for this course?,The next scheduled offering is **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next scheduled offering course""}'}]",0.00109875,bd31146b0e
When should I expect the next cohort of the course to start?,The next cohort of the course is expected to start in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next cohort start date course""}'}]",0.0008895,bd31146b0e
Is there a date for the next course run?,Yes — the FAQ says the next course run is **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next course run date""}'}]",0.0010035,bd31146b0e
